"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Bord","Deck"
"Nein","3","male",23.5,0,0,7.2292,"Cherbourg","Mr",,
"Nein","1","female",2,1,2,151.55,"Southampton","Miss","Backbord","C"
"Ja","1","male",30,0,0,30.5,"Southampton","Mr","Backbord","C"
"Ja","1","female",50,0,1,247.5208,"Cherbourg","Mrs","Backbord","B"
"Ja","3","female",21,0,0,7.75,"Queenstown","Miss",,
"Ja","3","male",30,2,0,23.25,"Queenstown","Mr",,
"Nein","3","male",19,0,0,0,"Southampton","Mr",,
"Ja","2","female",21,0,0,12.35,"Queenstown","Miss","Steuerbord","E"
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Ja","1","male",0.92,1,2,151.55,"Southampton","Master","Backbord","C"
"Ja","1","female",21,0,0,110.8833,"Cherbourg","Miss",,
"Ja","1","female",17,1,0,108.9,"Cherbourg","Mrs","Steuerbord","C"
"Nein","2","male",30,1,0,24,"Cherbourg","Mr",,
"Ja","1","female",30,0,0,56.9292,"Cherbourg","Miss","Backbord","E"
"Ja","1","female",24,0,0,83.1583,"Cherbourg","Miss","Backbord","C"
"Ja","1","female",18,2,2,262.375,"Cherbourg","Miss","Steuerbord","B"
"Nein","2","female",26,1,1,26,"Southampton","Mrs",,
"Nein","3","male",28,0,0,7.8958,"Southampton","Mr",,
"Nein","2","male",43,1,1,26.25,"Southampton","Mr",,
"Ja","3","female",26,0,0,7.8542,"Southampton","Miss",,
"Ja","2","female",24,1,0,26,"Southampton","Mrs",,
"Nein","2","male",54,0,0,14,"Southampton","Dr",,
"Ja","1","female",31,0,2,164.8667,"Southampton","Miss","Steuerbord","C"
"Ja","1","female",40,1,1,134.5,"Cherbourg","Mrs","Backbord","E"
"Nein","3","male",22,0,0,7.25,"Southampton","Mr",,
"Nein","3","male",27,0,0,7.8958,"Southampton","Mr",,
"Ja","2","female",30,0,0,12.35,"Queenstown","Miss",,
"Ja","2","female",22,1,1,29,"Southampton","Mrs",,
"Nein","3","male",30,8,2,69.55,"Southampton","Mr",,
"Ja","1","female",36,0,0,135.6333,"Cherbourg","Miss","Backbord","C"
"Nein","3","male",61,0,0,6.2375,"Southampton","Mr",,
"Ja","2","female",36,0,0,13,"Southampton","Mrs",,"D"
"Ja","3","female",31,1,1,20.525,"Southampton","Mrs",,
"Ja","1","female",16,0,1,57.9792,"Cherbourg","Miss","Backbord","B"
"Ja","3","female",21,2,0,23.25,"Queenstown","Miss",,
"Nein","1","male",45.5,0,0,28.5,"Southampton","Mr","Backbord","C"
"Nein","1","male",38,0,1,153.4625,"Southampton","Mr","Steuerbord","C"
"Nein","3","male",16,2,0,18,"Southampton","Mr",,
"Ja","1","female",35,1,0,133.65,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Nein","1","male",29,1,0,66.6,"Southampton","Mr","Backbord","C"
"Ja","1","female",41,0,0,134.5,"Cherbourg","Miss","Backbord","E"
"Ja","3","male",45,0,0,8.05,"Southampton","Mr",,
"Nein","1","male",45,0,0,35.5,"Southampton","Mr",,"T"
"Ja","2","male",2,1,1,26,"Southampton","Master","Backbord","F"
"Ja","1","female",24,3,2,263,"Southampton","Miss","Steuerbord","C"
"Nein","2","male",28,0,0,13,"Southampton","Mr",,
"Nein","2","male",25,0,0,13,"Southampton","Mr",,
"Nein","2","male",36,0,0,13,"Southampton","Mr",,
"Ja","2","female",24,0,0,13,"Southampton","Miss","Steuerbord","F"
"Ja","2","female",40,0,0,13,"Southampton","Miss",,
"Ja","3","female",35,1,0,16.1,"Southampton","Mrs",,
"Ja","3","male",3,1,1,15.9,"Southampton","Master",,
"Nein","3","male",42,0,0,8.6625,"Southampton","Mr",,
"Nein","3","male",23,0,0,9.225,"Southampton","Mr",,
"Nein","1","male",30,0,0,35,"Southampton","Mr","Backbord","C"
"Nein","3","male",15,1,1,7.2292,"Cherbourg","Mr",,
"Nein","3","male",25,1,0,17.8,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.225,"Cherbourg","Mr",,
"Nein","3","male",28,0,0,9.5,"Southampton","Mr",,
"Ja","1","female",22,0,1,55,"Southampton","Miss","Steuerbord","E"
"Nein","2","female",38,0,0,13,"Southampton","Miss",,
"Ja","3","female",21,0,0,7.8792,"Queenstown","Miss",,
"Ja","3","female",21,0,0,7.8792,"Queenstown","Miss",,
"Nein","3","male",40,1,4,27.9,"Southampton","Mr",,
"Nein","2","male",29,1,0,27.7208,"Cherbourg","Mr",,
"Nein","3","female",45,0,1,14.4542,"Cherbourg","Mrs",,
"Nein","3","male",35,0,0,7.05,"Southampton","Mr",,
"Nein","3","male",30,1,0,15.5,"Queenstown","Mr",,
"Nein","3","male",30,0,0,7.25,"Southampton","Mr",,
"Ja","1","female",60,1,0,75.25,"Cherbourg","Mrs","Steuerbord","D"
"Ja","3","female",35,0,0,7.2292,"Cherbourg","Mrs",,
"Ja","3","female",21,0,0,7.75,"Queenstown","Miss",,
"Ja","1","female",24,0,0,69.3,"Cherbourg","Mrs","Steuerbord","B"
"Ja","1","male",25,1,0,55.4417,"Cherbourg","Mr","Backbord","E"
"Nein","3","male",18,1,0,6.4958,"Southampton","Mr",,
"Nein","3","male",19,0,0,8.05,"Southampton","Mr",,
"Nein","1","male",22,0,0,135.6333,"Cherbourg","Mr",,
"Nein","3","female",3,3,1,21.075,"Southampton","Miss",,
"Ja","1","female",35,1,0,82.1708,"Cherbourg","Mrs",,
"Ja","3","female",22,0,0,7.25,"Southampton","Miss",,
"Nein","1","male",27,0,2,211.5,"Cherbourg","Mr","Backbord","C"
"Nein","3","male",20,0,0,4.0125,"Cherbourg","Mr",,
"Nein","3","male",19,0,0,7.775,"Southampton","Mr",,
"Ja","1","female",42,0,0,227.525,"Cherbourg","Miss",,
"Ja","3","female",1,0,2,15.7417,"Cherbourg","Miss",,
"Nein","3","male",32,0,0,7.925,"Southampton","Mr",,
"Ja","1","female",35,1,0,52,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Nein","2","male",18,0,0,73.5,"Southampton","Mr",,
"Nein","3","male",1,5,2,46.9,"Southampton","Master",,
"Ja","2","female",36,0,0,13,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.7292,"Queenstown","Mr",,
"Ja","2","female",17,0,0,12,"Cherbourg","Miss",,
"Ja","1","male",36,1,2,120,"Southampton","Mr","Backbord","B"
"Ja","3","male",21,0,0,7.7958,"Southampton","Mr",,
"Nein","3","male",28,2,0,7.925,"Southampton","Mr",,
"Ja","1","female",23,1,0,113.275,"Cherbourg","Miss","Backbord","D"
"Ja","3","female",24,0,2,16.7,"Southampton","Mrs","Backbord","G"
"Nein","3","male",22,0,0,7.7958,"Southampton","Mr",,
"Nein","3","female",31,0,0,7.8542,"Southampton","Miss",,
"Nein","2","male",46,0,0,26,"Southampton","Mr",,
"Nein","2","male",23,0,0,10.5,"Southampton","Dr",,
"Ja","2","female",28,0,0,12.65,"Southampton","Mrs",,
"Ja","3","male",39,0,0,7.925,"Southampton","Mr",,
"Nein","3","male",26,0,0,8.05,"Southampton","Mr",,
"Nein","3","female",21,1,0,9.825,"Southampton","Miss",,
"Nein","3","male",28,1,0,15.85,"Southampton","Mr",,
"Nein","3","female",20,0,0,8.6625,"Southampton","Miss",,
"Nein","2","male",34,1,0,21,"Southampton","Mr",,
"Nein","3","male",51,0,0,7.75,"Southampton","Mr",,
"Ja","2","male",3,1,1,18.75,"Southampton","Master",,
"Nein","3","male",21,0,0,7.775,"Southampton","Mr",,
"Nein","3","female",21,3,1,25.4667,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Nein","3","male",30,0,0,6.8583,"Queenstown","Mr",,
"Ja","1","female",33,1,0,90,"Queenstown","Miss","Backbord","C"
"Nein","2","male",30,0,0,0,"Southampton","Mr",,
"Ja","3","male",44,0,0,7.925,"Southampton","Mr",,
"Nein","3","female",35,0,0,8.05,"Southampton","Mrs",,
"Ja","2","female",34,1,1,32.5,"Southampton","Mrs",,
"Ja","2","female",18,0,2,13,"Southampton","Miss",,
"Nein","2","male",30,0,0,13,"Southampton","Mr",,
"Nein","3","female",10,0,2,24.15,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.8958,"Cherbourg","Mr",,
"Nein","3","male",21,0,0,7.7333,"Queenstown","Mr",,
"Nein","3","male",29,0,0,7.875,"Southampton","Mr",,
"Nein","3","female",28,1,1,14.4,"Southampton","Mrs",,
"Nein","3","male",18,1,1,20.2125,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.25,"Southampton","Mr",,
"Ja","2","female",28,1,0,26,"Southampton","Mrs",,
"Ja","2","female",19,0,0,26,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.75,"Queenstown","Mr",,
"Ja","3","male",32,0,0,8.05,"Southampton","Mr","Backbord","E"
"Ja","1","male",28,0,0,26.55,"Southampton","Mr","Backbord","C"
"Ja","3","female",35,1,0,16.1,"Southampton","Mrs",,
"Ja","2","female",42,1,0,26,"Southampton","Mrs",,
"Nein","3","male",17,0,0,7.125,"Southampton","Mr",,
"Nein","1","male",50,1,0,55.9,"Southampton","Mr","Backbord","E"
"Ja","1","female",14,1,2,120,"Southampton","Miss","Backbord","B"
"Nein","3","female",21,2,2,34.375,"Southampton","Miss",,
"Ja","2","female",24,2,3,18.75,"Southampton","Mrs",,
"Nein","1","male",64,1,4,263,"Southampton","Mr","Steuerbord","C"
"Nein","2","male",31,0,0,10.5,"Southampton","Mr",,
"Ja","2","female",45,1,1,26.25,"Southampton","Mrs",,
"Nein","3","male",20,0,0,9.5,"Southampton","Mr",,
"Nein","3","male",25,1,0,7.775,"Southampton","Mr",,
"Ja","2","female",28,0,0,13,"Southampton","Miss",,
"Ja","3","male",30,0,0,8.1125,"Southampton","Mr",,
"Ja","1","male",4,0,2,81.8583,"Southampton","Master","Backbord","A"
"Ja","2","female",13,0,1,19.5,"Southampton","Miss",,
"Ja","1","male",34,0,0,26.55,"Southampton","Mr",,
"Ja","3","female",5,2,1,19.2583,"Cherbourg","Miss",,
"Ja","1","male",52,0,0,30.5,"Southampton","Major","Backbord","C"
"Nein","2","male",36,1,2,27.75,"Southampton","Mr",,
"Nein","3","male",30,1,0,19.9667,"Southampton","Mr",,
"Nein","1","male",30,0,0,27.75,"Cherbourg","Mr","Steuerbord","C"
"Ja","1","male",49,1,0,89.1042,"Cherbourg","Mr","Backbord","C"
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Ja","3","male",29,0,0,7.8958,"Cherbourg","Mr",,
"Nein","1","male",65,0,0,26.55,"Southampton","Mr","Backbord","E"
"Ja","1","female",35,1,0,51.8625,"Southampton","Mrs","Steuerbord","D"
"Ja","2","female",50,0,0,10.5,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.75,"Queenstown","Mr",,
"Ja","1","male",48,0,0,26.55,"Southampton","Mr","Backbord","E"
"Nein","3","male",34,0,0,8.05,"Southampton","Mr",,
"Nein","1","male",47,0,0,38.5,"Southampton","Mr","Steuerbord","E"
"Nein","2","male",48,0,0,13,"Southampton","Mr",,
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Nein","3","male",38,0,0,7.05,"Southampton","Mr",,
"Nein","2","male",30,0,0,0,"Southampton","Mr",,
"Nein","1","male",56,0,0,26.55,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.725,"Queenstown","Mr",,
"Ja","3","female",0.75,2,1,19.2583,"Cherbourg","Miss",,
"Nein","3","male",30,0,0,7.25,"Southampton","Mr",,
"Nein","3","male",38,0,0,8.6625,"Southampton","Mr",,
"Ja","2","female",33,1,2,27.75,"Southampton","Mrs",,
"Ja","2","female",23,0,0,13.7917,"Cherbourg","Mrs",,"D"
"Nein","3","female",22,0,0,9.8375,"Southampton","Miss",,
"Nein","1","male",30,0,0,52,"Southampton","Mr","Backbord","A"
"Nein","2","male",34,1,0,21,"Southampton","Mr",,
"Nein","3","male",29,1,0,7.0458,"Southampton","Mr",,
"Nein","3","male",22,0,0,7.5208,"Southampton","Mr",,
"Ja","3","female",2,0,1,12.2875,"Southampton","Miss",,
"Nein","3","male",9,5,2,46.9,"Southampton","Master",,
"Nein","2","male",30,0,0,0,"Southampton","Mr",,
"Nein","3","male",50,0,0,8.05,"Southampton","Mr",,
"Ja","3","female",63,0,0,9.5875,"Southampton","Mrs",,
"Ja","1","male",25,1,0,91.0792,"Cherbourg","Mr","Steuerbord","B"
"Nein","3","female",21,3,1,25.4667,"Southampton","Miss",,
"Ja","1","female",35,1,0,90,"Southampton","Mrs","Steuerbord","C"
"Nein","1","male",58,0,0,29.7,"Cherbourg","Mr","Steuerbord","B"
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Ja","3","male",9,1,1,15.9,"Southampton","Master",,
"Nein","3","male",30,1,0,19.9667,"Southampton","Mr",,
"Nein","3","male",21,0,0,7.25,"Southampton","Mr",,
"Nein","1","male",55,0,0,30.5,"Southampton","Mr","Backbord","C"
"Nein","1","male",71,0,0,49.5042,"Cherbourg","Mr",,
"Nein","3","male",21,0,0,8.05,"Southampton","Mr",,
"Nein","3","male",30,0,0,14.4583,"Cherbourg","Mr",,
"Ja","1","female",54,1,0,78.2667,"Cherbourg","Miss","Backbord","D"
"Nein","3","male",30,0,0,15.1,"Southampton","Mr",,
"Nein","1","female",25,1,2,151.55,"Southampton","Mrs","Backbord","C"
"Nein","3","male",24,0,0,7.7958,"Southampton","Mr",,
"Nein","3","male",17,0,0,8.6625,"Southampton","Mr",,
"Nein","3","female",21,0,0,7.75,"Queenstown","Miss",,
"Nein","3","female",21,0,0,7.6292,"Queenstown","Miss",,
"Nein","3","female",37,0,0,9.5875,"Southampton","Miss",,
"Ja","1","female",16,0,0,86.5,"Southampton","Miss","Steuerbord","B"
"Nein","1","male",18,1,0,108.9,"Cherbourg","Mr","Steuerbord","C"
"Ja","2","female",33,0,2,26,"Southampton","Mrs",,
"Ja","1","male",30,0,0,26.55,"Southampton","Mr",,
"Nein","3","male",28,0,0,22.525,"Southampton","Mr",,
"Ja","3","male",26,0,0,56.4958,"Southampton","Mr",,
"Ja","3","male",29,0,0,7.75,"Queenstown","Mr",,
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Ja","1","male",36,0,0,26.2875,"Southampton","Mr","Steuerbord","E"
"Ja","1","female",54,1,0,59.4,"Cherbourg","Mrs",,
"Nein","3","male",24,0,0,7.4958,"Southampton","Mr",,
"Nein","1","male",47,0,0,34.0208,"Southampton","Mr","Backbord","D"
"Ja","2","female",34,0,0,10.5,"Southampton","Mrs","Steuerbord","F"
"Nein","3","male",30,0,0,24.15,"Queenstown","Mr",,
"Ja","2","female",36,1,0,26,"Southampton","Mrs",,
"Nein","3","male",32,0,0,7.8958,"Southampton","Mr",,
"Ja","1","female",30,0,0,93.5,"Southampton","Miss","Steuerbord","B"
"Nein","3","male",22,0,0,7.8958,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.225,"Cherbourg","Mr",,
"Ja","1","female",44,0,1,57.9792,"Cherbourg","Mrs","Backbord","B"
"Nein","3","male",30,0,0,7.2292,"Cherbourg","Mr",,
"Nein","3","male",40.5,0,0,7.75,"Queenstown","Mr",,
"Ja","2","female",50,0,0,10.5,"Southampton","Miss",,
"Nein","1","male",30,0,0,221.7792,"Southampton","Mr","Steuerbord","C"
"Nein","3","male",39,0,0,7.925,"Southampton","Mr",,
"Nein","2","male",23,2,1,11.5,"Southampton","Mr",,
"Ja","2","female",2,1,1,26,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.2292,"Cherbourg","Mr",,
"Nein","3","male",17,1,1,7.2292,"Cherbourg","Mr",,
"Ja","3","female",35,0,2,22.3583,"Cherbourg","Mrs",,
"Nein","3","female",30,0,0,8.6625,"Southampton","Miss",,
"Ja","2","female",7,0,2,26.25,"Southampton","Miss",,
"Nein","1","male",45,0,0,26.55,"Southampton","Major","Backbord","B"
"Ja","1","female",30,0,0,106.425,"Cherbourg","Miss",,
"Nein","3","male",30,0,0,14.5,"Southampton","Mr",,
"Ja","1","female",22,0,2,49.5,"Cherbourg","Miss","Steuerbord","B"
"Ja","1","female",36,0,2,71,"Southampton","Miss","Backbord","B"
"Nein","3","female",9,4,2,31.275,"Southampton","Miss",,
"Nein","3","female",11,4,2,31.275,"Southampton","Miss",,
"Ja","2","male",32,1,0,26,"Southampton","Mr",,
"Nein","1","male",50,1,0,106.425,"Cherbourg","Mr","Backbord","C"
"Nein","1","male",64,0,0,26,"Southampton","Mr",,
"Ja","2","female",19,1,0,26,"Southampton","Mrs",,
"Ja","2","male",30,0,0,13.8625,"Cherbourg","Mr",,
"Nein","3","male",33,1,1,20.525,"Southampton","Mr",,
"Ja","2","male",8,1,1,36.75,"Southampton","Master",,
"Ja","1","male",17,0,2,110.8833,"Cherbourg","Mr","Backbord","C"
"Nein","2","male",27,0,0,26,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.8292,"Queenstown","Mr",,
"Ja","3","male",22,0,0,7.225,"Cherbourg","Mr",,
"Ja","3","female",22,0,0,7.775,"Southampton","Miss",,
"Nein","1","male",62,0,0,26.55,"Southampton","Mr",,
"Ja","1","female",48,1,0,39.6,"Cherbourg","Lady","Backbord","A"
"Nein","1","male",30,0,0,227.525,"Cherbourg","Mr",,
"Ja","1","female",39,1,1,79.65,"Southampton","Mrs","Steuerbord","E"
"Ja","3","female",36,1,0,17.4,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.75,"Queenstown","Mr",,
"Nein","3","male",40,0,0,7.8958,"Southampton","Mr",,
"Nein","2","male",28,0,0,13.5,"Southampton","Mr",,
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Nein","3","female",21,0,0,8.05,"Southampton","Miss",,
"Nein","3","male",24,2,0,24.15,"Southampton","Mr",,
"Nein","3","male",19,0,0,7.8958,"Southampton","Mr",,
"Nein","3","female",29,0,4,21.075,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.2292,"Cherbourg","Mr",,
"Ja","3","male",32,0,0,7.8542,"Southampton","Mr",,
"Ja","2","male",62,0,0,10.5,"Southampton","Mr",,
"Ja","1","female",53,2,0,51.4792,"Southampton","Mrs","Steuerbord","C"
"Ja","1","male",36,0,0,26.3875,"Southampton","Mr","Steuerbord","E"
"Ja","3","female",21,0,0,7.75,"Queenstown","Miss",,
"Nein","3","male",16,0,0,8.05,"Southampton","Mr",,
"Nein","3","male",19,0,0,14.5,"Southampton","Mr",,
"Ja","2","female",34,0,0,13,"Southampton","Miss",,
"Ja","1","female",39,1,0,55.9,"Southampton","Mrs","Backbord","E"
"Nein","3","female",35,1,0,14.4583,"Cherbourg","Mrs",,
"Ja","3","male",32,0,0,7.925,"Southampton","Mr",,
"Ja","2","female",25,1,1,30,"Southampton","Miss",,
"Ja","1","female",39,1,1,110.8833,"Cherbourg","Mrs","Backbord","C"
"Nein","2","male",54,0,0,26,"Southampton","Mr",,
"Nein","1","male",36,0,0,40.125,"Cherbourg","Mr","Backbord","A"
"Nein","3","male",30,0,0,8.7125,"Cherbourg","Mr",,
"Ja","1","female",18,0,2,79.65,"Southampton","Miss","Backbord","E"
"Nein","2","male",47,0,0,15,"Southampton","Mr",,
"Ja","1","male",60,1,1,79.2,"Cherbourg","Mr","Steuerbord","B"
"Nein","3","male",22,0,0,8.05,"Southampton","Mr",,
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Nein","3","male",35,0,0,7.125,"Southampton","Mr",,
"Ja","1","female",52,1,0,78.2667,"Cherbourg","Mrs","Backbord","D"
