"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Bord","Deck"
"Nein","3","male",47,0,0,7.25,"Southampton","Mr",,
"Nein","3","female",21,0,2,7.75,"Queenstown","Miss",,
"Nein","2","male",37,1,0,26,"Southampton","Mr",,
"Nein","3","male",36,1,1,24.15,"Southampton","Mr",,
"Ja","2","female",21,0,0,33,"Southampton","Miss",,
"Nein","3","male",49,0,0,0,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.225,"Cherbourg","Mr",,
"Ja","1","male",49,1,0,56.9292,"Cherbourg","Sir","Backbord","A"
"Ja","2","female",24,2,1,27,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Nein","1","male",30,0,0,42.4,"Southampton","Mr",,
"Nein","3","male",44,0,0,8.05,"Southampton","Mr",,
"Ja","1","male",35,0,0,26.55,"Cherbourg","Mr",,
"Nein","3","male",36,1,0,15.55,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Ja","1","male",27,0,0,30.5,"Southampton","Mr",,
"Ja","2","female",22,1,2,41.5792,"Cherbourg","Mrs",,
"Ja","1","female",40,0,0,153.4625,"Southampton","Miss","Steuerbord","C"
"Nein","3","female",39,1,5,31.275,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.05,"Southampton","Mr",,
"Ja","3","female",21,1,0,15.5,"Queenstown","Miss",,
"Nein","3","male",30,0,0,7.75,"Queenstown","Mr",,
"Nein","3","male",35,0,0,8.05,"Southampton","Mr",,
"Ja","2","female",24,1,2,65,"Southampton","Miss",,
"Nein","3","male",34,1,1,14.4,"Southampton","Mr",,
"Nein","3","female",26,1,0,16.1,"Southampton","Mrs",,
"Ja","2","female",4,2,1,39,"Southampton","Miss","Backbord","F"
"Nein","2","male",26,0,0,10.5,"Southampton","Mr",,
"Nein","3","male",27,1,0,14.4542,"Cherbourg","Mr",,
"Ja","1","male",42,1,0,52.5542,"Southampton","Mr","Steuerbord","D"
"Ja","3","male",20,1,1,15.7417,"Cherbourg","Mr",,
"Nein","3","male",21,0,0,7.8542,"Southampton","Mr",,
"Nein","3","male",21,0,0,16.1,"Southampton","Mr",,
"Nein","1","male",61,0,0,32.3208,"Southampton","Mr","Backbord","D"
"Nein","2","male",57,0,0,12.35,"Queenstown","Rev",,
"Ja","1","female",21,0,0,77.9583,"Southampton","Miss","Steuerbord","D"
"Nein","3","male",26,0,0,7.8958,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.7333,"Queenstown","Mr",,
"Ja","1","male",80,0,0,30,"Southampton","Mr","Steuerbord","A"
"Nein","3","male",51,0,0,7.0542,"Southampton","Mr",,
"Ja","1","male",32,0,0,30.5,"Cherbourg","Dr","Backbord","B"
"Nein","1","male",30,0,0,0,"Southampton","Mr",,
"Nein","3","female",9,3,2,27.9,"Southampton","Miss",,
"Ja","2","female",28,0,0,13,"Southampton","Miss",,
"Nein","3","male",32,0,0,7.925,"Southampton","Mr",,
"Nein","2","male",31,1,1,26.25,"Southampton","Mr",,
"Nein","3","female",41,0,5,39.6875,"Southampton","Mrs",,
"Nein","3","male",30,1,0,16.1,"Southampton","Mr",,
"Nein","3","male",20,0,0,7.8542,"Southampton","Mr",,
"Ja","1","female",24,0,0,69.3,"Cherbourg","Miss","Steuerbord","B"
"Nein","3","female",2,3,2,27.9,"Southampton","Miss",,
"Ja","3","male",30,0,0,56.4958,"Southampton","Mr",,
"Ja","3","female",0.75,2,1,19.2583,"Cherbourg","Miss",,
"Ja","1","male",48,1,0,76.7292,"Cherbourg","Mr","Steuerbord","D"
"Nein","3","male",19,0,0,7.8958,"Southampton","Mr",,
"Ja","1","male",56,0,0,35.5,"Cherbourg","Col","Backbord","A"
"Nein","3","male",30,0,0,7.55,"Southampton","Mr",,
"Ja","3","female",23,0,0,7.55,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Ja","2","female",18,0,1,23,"Southampton","Miss",,
"Nein","3","male",21,0,0,8.4333,"Southampton","Mr",,
"Ja","3","female",21,0,0,7.8292,"Queenstown","Miss",,
"Nein","3","female",18,0,0,6.75,"Queenstown","Miss",,
"Nein","2","male",24,2,0,73.5,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Nein","3","female",32,1,1,15.5,"Queenstown","Mrs",,
"Nein","2","male",23,0,0,13,"Southampton","Mr",,
"Nein","1","male",58,0,2,113.275,"Cherbourg","Mr","Backbord","D"
"Ja","1","male",50,2,0,133.65,"Southampton","Dr",,
"Nein","3","male",40,0,0,7.225,"Cherbourg","Mr",,
"Nein","1","male",47,0,0,25.5875,"Southampton","Mr","Backbord","E"
"Nein","3","male",36,0,0,7.4958,"Southampton","Mr",,
"Ja","3","male",20,1,0,7.925,"Southampton","Mr",,
"Nein","2","male",32,2,0,73.5,"Southampton","Mr",,
"Nein","2","male",25,0,0,13,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.775,"Southampton","Mr",,
"Nein","3","male",43,0,0,8.05,"Southampton","Mr",,
"Ja","1","female",35,1,0,52,"Southampton","Mrs","Backbord","C"
"Ja","2","female",40,1,1,39,"Southampton","Mrs",,
"Nein","1","male",31,1,0,52,"Southampton","Mr","Steuerbord","B"
"Nein","2","male",70,0,0,10.5,"Southampton","Mr",,
"Ja","2","male",31,0,0,13,"Southampton","Mr",,
"Nein","2","male",30,0,0,0,"Southampton","Mr",,
"Nein","3","male",18,0,0,7.775,"Southampton","Mr",,
"Nein","3","male",24.5,0,0,8.05,"Southampton","Mr",,
"Ja","3","female",18,0,0,9.8417,"Southampton","Miss",,
"Nein","3","female",43,1,6,46.9,"Southampton","Mrs",,
"Ja","1","male",36,0,1,512.3292,"Cherbourg","Mr","Steuerbord","B"
"Nein","3","female",21,0,0,8.1375,"Queenstown","Miss",,
"Ja","1","male",27,0,0,76.7292,"Cherbourg","Mr","Steuerbord","D"
"Nein","3","male",20,0,0,9.225,"Southampton","Mr",,
"Nein","3","male",14,5,2,46.9,"Southampton","Mr",,
"Nein","2","male",60,1,1,39,"Southampton","Mr",,
"Nein","2","male",25,1,2,41.5792,"Cherbourg","Mr",,
"Nein","3","male",14,4,1,39.6875,"Southampton","Mr",,
"Nein","3","male",19,0,0,10.1708,"Southampton","Mr",,
"Nein","3","male",18,0,0,7.7958,"Southampton","Mr",,
"Ja","1","female",15,0,1,211.3375,"Southampton","Miss","Steuerbord","B"
"Ja","1","male",31,1,0,57,"Southampton","Mr","Backbord","B"
"Ja","3","female",4,0,1,13.4167,"Cherbourg","Miss",,
"Ja","3","male",30,0,0,56.4958,"Southampton","Mr",,
"Nein","3","male",25,0,0,7.225,"Cherbourg","Mr",,
"Nein","1","male",60,0,0,26.55,"Southampton","Col",,
"Nein","2","male",52,0,0,13.5,"Southampton","Mr",,
"Nein","3","male",44,0,0,8.05,"Southampton","Mr",,
"Ja","3","female",21,0,0,7.7333,"Queenstown","Miss",,
"Nein","1","male",49,1,1,110.8833,"Cherbourg","Mr","Backbord","C"
"Nein","3","male",42,0,0,7.65,"Southampton","Mr",,"F"
"Ja","1","female",18,1,0,227.525,"Cherbourg","Mrs","Backbord","C"
"Ja","1","male",35,0,0,26.2875,"Southampton","Mr","Backbord","E"
"Nein","3","female",18,0,1,14.4542,"Cherbourg","Miss",,
"Nein","3","male",25,0,0,7.7417,"Queenstown","Mr",,
"Nein","3","male",26,1,0,7.8542,"Southampton","Mr",,
"Nein","2","male",39,0,0,26,"Southampton","Mr",,
"Ja","2","female",45,0,0,13.5,"Southampton","Mrs",,
"Ja","1","male",42,0,0,26.2875,"Southampton","Mr","Backbord","E"
"Ja","1","female",22,0,0,151.55,"Southampton","Miss",,
"Ja","3","male",3.5,1,1,15.2458,"Cherbourg","Master",,
"Ja","1","female",24,0,0,49.5042,"Cherbourg","Miss","Backbord","C"
"Nein","1","male",30,0,0,26.55,"Southampton","Mr","Backbord","C"
"Ja","1","male",48,1,0,52,"Southampton","Mr","Backbord","C"
"Nein","3","male",29,0,0,9.4833,"Southampton","Mr",,
"Nein","2","male",52,0,0,13,"Southampton","Mr",,
"Nein","3","male",19,0,0,7.65,"Southampton","Mr",,"F"
"Ja","1","female",38,0,0,227.525,"Cherbourg","Miss","Steuerbord","C"
"Ja","2","female",27,0,0,10.5,"Southampton","Miss","Steuerbord","E"
"Nein","3","male",30,0,0,15.5,"Queenstown","Mr",,
"Nein","3","male",33,0,0,7.775,"Southampton","Mr",,
"Ja","2","female",6,0,1,33,"Southampton","Miss",,
"Nein","3","male",17,1,0,7.0542,"Southampton","Mr",,
"Nein","2","male",34,0,0,13,"Southampton","Mr",,
"Nein","2","male",50,0,0,13,"Southampton","Mr",,
"Ja","1","male",27,1,0,53.1,"Southampton","Mr","Backbord","E"
"Nein","3","male",20,0,0,8.6625,"Southampton","Mr",,
"Ja","2","female",30,3,0,21,"Southampton","Mrs",,
"Ja","3","female",21,0,0,7.7375,"Queenstown","Miss",,
"Nein","2","male",25,1,0,26,"Southampton","Mr",,
"Nein","3","female",25,1,0,7.925,"Southampton","Miss",,
"Ja","1","female",29,0,0,211.3375,"Southampton","Miss","Steuerbord","B"
"Nein","3","male",11,0,0,18.7875,"Cherbourg","Mr",,
"Nein","2","male",30,0,0,0,"Southampton","Mr",,
"Nein","2","male",23,0,0,13,"Southampton","Mr",,
"Nein","2","male",23,0,0,13,"Southampton","Mr",,
"Nein","3","male",28.5,0,0,16.1,"Southampton","Mr",,
"Nein","3","female",48,1,3,34.375,"Southampton","Mrs",,
"Ja","1","male",35,0,0,512.3292,"Cherbourg","Mr","Steuerbord","B"
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Ja","1","male",30,0,0,30,"Southampton","Mr","Steuerbord","D"
"Nein","1","male",36,1,0,78.85,"Southampton","Mr","Backbord","C"
"Ja","1","female",21,2,2,262.375,"Cherbourg","Miss","Steuerbord","B"
"Nein","3","male",24,1,0,16.1,"Southampton","Mr",,
"Ja","3","male",31,0,0,7.925,"Southampton","Mr",,
"Nein","1","male",70,1,1,71,"Southampton","Capt","Backbord","B"
"Nein","3","male",16,1,1,20.25,"Southampton","Mr",,
"Ja","2","female",30,0,0,13,"Southampton","Miss",,
"Nein","1","male",19,1,0,53.1,"Southampton","Mr","Backbord","D"
"Nein","3","male",31,0,0,7.75,"Queenstown","Mr",,
"Ja","2","female",4,1,1,23,"Southampton","Miss",,
"Ja","3","male",6,0,1,12.475,"Southampton","Master","Steuerbord","E"
"Nein","3","male",33,0,0,9.5,"Southampton","Mr",,
"Nein","3","male",23,0,0,7.8958,"Southampton","Mr",,
"Ja","2","female",48,1,2,65,"Southampton","Mrs",,
"Ja","2","male",0.67,1,1,14.5,"Southampton","Master",,
"Nein","3","male",28,0,0,7.7958,"Southampton","Mr",,
"Nein","2","male",18,0,0,11.5,"Southampton","Mr",,
"Nein","3","male",34,0,0,8.05,"Southampton","Mr",,
"Ja","1","female",33,0,0,86.5,"Southampton","Lady","Steuerbord","B"
"Nein","3","male",30,0,0,14.5,"Southampton","Mr",,
"Nein","3","male",41,0,0,7.125,"Southampton","Mr",,
"Ja","3","male",20,0,0,7.2292,"Cherbourg","Mr",,
"Ja","1","female",36,1,2,120,"Southampton","Mrs","Backbord","B"
"Nein","3","male",16,0,0,7.775,"Southampton","Mr",,
"Ja","1","female",51,1,0,77.9583,"Southampton","Mrs","Steuerbord","D"
"Nein","1","male",46.5,0,0,39.6,"Cherbourg","Dr",,
"Nein","3","female",30.5,0,0,7.75,"Queenstown","Miss",,
"Nein","3","male",30,1,0,24.15,"Queenstown","Mr",,
"Nein","3","male",32,0,0,8.3625,"Southampton","Mr",,
"Nein","3","male",24,0,0,9.5,"Southampton","Mr",,
"Nein","3","male",48,0,0,7.8542,"Southampton","Mr",,
"Nein","2","female",57,0,0,10.5,"Southampton","Mrs","Steuerbord","E"
"Nein","3","male",30,0,0,7.225,"Cherbourg","Mr",,
"Ja","2","female",54,1,3,23,"Southampton","Mrs",,
"Nein","3","male",18,0,0,7.75,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.75,"Queenstown","Mr","Backbord","F"
"Ja","3","female",5,0,0,12.475,"Southampton","Miss",,
"Nein","3","male",30,0,0,7.7375,"Queenstown","Mr",,
"Ja","1","female",43,0,1,211.3375,"Southampton","Mrs","Steuerbord","B"
"Ja","3","female",13,0,0,7.2292,"Cherbourg","Miss",,
"Ja","1","female",17,1,0,57,"Southampton","Mrs","Backbord","B"
"Nein","1","male",29,0,0,30,"Southampton","Mr","Backbord","D"
"Nein","3","male",30,1,2,23.45,"Southampton","Mr",,
"Nein","3","male",25,0,0,7.05,"Southampton","Mr",,
"Nein","3","male",25,0,0,7.25,"Southampton","Mr",,
"Ja","3","female",18,0,0,7.4958,"Southampton","Miss",,
"Nein","3","male",8,4,1,29.125,"Queenstown","Master",,
"Ja","3","male",1,1,2,20.575,"Southampton","Master",,
"Nein","1","male",46,0,0,79.2,"Cherbourg","Mr","Backbord","B"
"Nein","3","male",30,0,0,7.75,"Queenstown","Mr",,
"Nein","2","male",16,0,0,26,"Southampton","Mr",,
"Nein","3","female",21,8,2,69.55,"Southampton","Miss",,
"Nein","1","male",30,0,0,30.6958,"Cherbourg","Mr",,
"Nein","3","male",25,0,0,7.8958,"Southampton","Mr",,
"Nein","2","male",39,0,0,13,"Southampton","Mr",,
"Ja","1","female",49,0,0,25.9292,"Southampton","Dr","Steuerbord","D"
"Ja","3","female",31,0,0,8.6833,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.2292,"Cherbourg","Mr",,
"Nein","3","female",30,1,1,24.15,"Southampton","Mrs",,
"Nein","2","male",34,0,0,13,"Southampton","Mr",,
"Ja","2","female",31,1,1,26.25,"Southampton","Mrs",,
"Ja","1","male",11,1,2,120,"Southampton","Master","Backbord","B"
"Ja","3","male",0.42,0,1,8.5167,"Cherbourg","Master",,
"Ja","3","male",27,0,0,6.975,"Southampton","Mr",,
"Nein","3","male",31,0,0,7.775,"Southampton","Mr",,
"Nein","1","male",39,0,0,0,"Southampton","Mr","Backbord","A"
"Nein","3","female",18,0,0,7.775,"Southampton","Miss",,
"Nein","2","male",39,0,0,13,"Southampton","Mr",,
"Ja","1","female",33,1,0,53.1,"Southampton","Mrs","Backbord","E"
"Nein","3","male",26,0,0,7.8875,"Southampton","Mr",,
"Nein","3","male",39,0,0,24.15,"Southampton","Mr",,
"Nein","2","male",35,0,0,10.5,"Southampton","Mr",,
"Nein","3","female",6,4,2,31.275,"Southampton","Miss",,
"Nein","3","male",30.5,0,0,8.05,"Southampton","Mr",,
"Nein","1","male",30,0,0,0,"Southampton","Mr","Backbord","B"
"Nein","3","female",23,0,0,7.925,"Southampton","Miss",,
"Nein","2","male",31,1,1,37.0042,"Cherbourg","Mr",,
"Nein","3","male",43,0,0,6.45,"Southampton","Mr",,
"Nein","3","male",10,3,2,27.9,"Southampton","Master",,
"Ja","1","female",52,1,1,93.5,"Southampton","Mrs","Steuerbord","B"
"Ja","3","male",27,0,0,8.6625,"Southampton","Mr",,
"Nein","1","male",38,0,0,0,"Southampton","Sir",,
"Ja","3","female",27,0,1,12.475,"Southampton","Mrs","Steuerbord","E"
"Nein","3","male",2,4,1,39.6875,"Southampton","Master",,
"Nein","3","male",30,0,0,6.95,"Queenstown","Mr",,
"Nein","3","male",30,0,0,56.4958,"Southampton","Mr",,
"Ja","2","male",1,0,2,37.0042,"Cherbourg","Master",,
"Ja","3","male",30,0,0,7.75,"Queenstown","Mr",,
"Ja","1","female",62,0,0,80,,"Mrs","Backbord","B"
"Ja","3","female",15,1,0,14.4542,"Cherbourg","Mrs",,
"Ja","2","male",0.83,1,1,18.75,"Southampton","Master",,
"Nein","3","male",30,0,0,7.2292,"Cherbourg","Mr",,
"Nein","3","male",23,0,0,7.8542,"Southampton","Mr",,
"Nein","3","male",18,0,0,8.3,"Southampton","Mr",,
"Ja","1","female",39,1,1,83.1583,"Cherbourg","Miss","Steuerbord","E"
"Nein","3","male",21,0,0,8.6625,"Southampton","Mr",,
"Nein","3","male",30,0,0,8.05,"Southampton","Mr",,
"Ja","3","male",32,0,0,56.4958,"Southampton","Mr",,
"Ja","1","male",30,0,0,29.7,"Cherbourg","Mr","Steuerbord","C"
"Nein","3","male",20,0,0,7.925,"Southampton","Mr",,
"Nein","2","male",16,0,0,10.5,"Southampton","Mr",,
"Ja","1","female",30,0,0,31,"Cherbourg","Miss",,
"Nein","3","male",34.5,0,0,6.4375,"Cherbourg","Mr",,
"Nein","3","male",17,0,0,8.6625,"Southampton","Mr",,
"Nein","3","male",42,0,0,7.55,"Southampton","Mr",,
"Nein","3","male",30,8,2,69.55,"Southampton","Mr",,
"Nein","3","male",35,0,0,7.8958,"Cherbourg","Mr",,
"Nein","2","male",28,0,1,33,"Southampton","Rev",,
"Ja","1","female",35,1,0,89.1042,"Cherbourg","Mrs","Backbord","C"
"Nein","3","male",4,4,2,31.275,"Southampton","Master",,
"Nein","3","male",74,0,0,7.775,"Southampton","Mr",,
"Nein","3","female",9,1,1,15.2458,"Cherbourg","Miss",,
"Ja","1","female",16,0,1,39.4,"Southampton","Miss","Backbord","D"
"Nein","2","female",44,1,0,26,"Southampton","Mrs",,
"Ja","3","female",18,0,1,9.35,"Southampton","Mrs",,
"Ja","1","female",45,1,1,164.8667,"Southampton","Mrs",,
"Ja","1","male",51,0,0,26.55,"Southampton","Mr","Steuerbord","E"
"Ja","3","female",24,0,3,19.2583,"Cherbourg","Mrs",,
"Nein","3","male",30,0,0,7.2292,"Cherbourg","Mr",,
"Nein","3","male",41,2,0,14.1083,"Southampton","Mr",,
"Nein","2","male",21,1,0,11.5,"Southampton","Mr",,
"Ja","1","female",48,0,0,25.9292,"Southampton","Mrs","Steuerbord","D"
"Nein","3","female",21,8,2,69.55,"Southampton","Miss",,
"Nein","2","male",24,0,0,13,"Southampton","Mr",,
"Ja","2","female",42,0,0,13,"Southampton","Mrs",,
"Ja","2","female",27,1,0,13.8583,"Cherbourg","Miss",,
"Nein","1","male",31,0,0,50.4958,"Southampton","Mr","Backbord","A"
"Nein","3","male",30,0,0,9.5,"Southampton","Mr",,
"Ja","3","male",4,1,1,11.1333,"Southampton","Master",,
"Nein","3","male",26,0,0,7.8958,"Southampton","Mr",,
"Ja","1","female",47,1,1,52.5542,"Southampton","Mrs","Steuerbord","D"
"Nein","1","male",33,0,0,5,"Southampton","Mr","Steuerbord","B"
"Nein","3","male",47,0,0,9,"Southampton","Mr",,
"Ja","2","female",28,1,0,24,"Cherbourg","Mrs",,
"Ja","3","female",15,0,0,7.225,"Cherbourg","Miss",,
"Nein","3","male",20,0,0,9.8458,"Southampton","Mr",,
"Nein","3","male",19,0,0,7.8958,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Ja","1","female",56,0,1,83.1583,"Cherbourg","Mrs","Backbord","C"
"Ja","2","female",25,0,1,26,"Southampton","Mrs",,
"Nein","3","male",33,0,0,7.8958,"Southampton","Mr",,
"Nein","3","female",22,0,0,10.5167,"Southampton","Miss",,
"Nein","2","male",28,0,0,10.5,"Southampton","Mr",,
"Nein","3","male",25,0,0,7.05,"Southampton","Mr",,
"Nein","3","female",39,0,5,29.125,"Queenstown","Mrs",,
"Nein","2","male",27,0,0,13,"Southampton","Rev",,
"Ja","1","female",19,0,0,30,"Southampton","Miss","Backbord","B"
"Nein","3","female",21,1,2,23.45,"Southampton","Miss",,
"Ja","1","male",26,0,0,30,"Cherbourg","Mr","Backbord","C"
"Nein","3","male",32,0,0,7.75,"Queenstown","Mr",,
